Timestamp,Age,Residence,Preferred_Genre,Movie_Schedule,Platform,Occasion,Companion,Selling_point,Likes,DisLikes,Reference
11/13/2023 13:24:18,24 to 64 (Adults),Urban (City i.e Manila  Makati  Taguig),Action|Adventure|Sci-Fi|Thriller|Crime|Documentary,Occassionally ( Two to Four Times),Streaming platforms (Netflix  Prime  Vivamax  YouTube etc),Weekends,Partner/Spouse  Alone,Trailer|Plot,Plot/Story,Visual Effects,IMDB
11/13/2023 13:24:18,24 to 64 (Adults),Urban (City i.e Manila  Makati  Taguig),Action|Adventure|Sci-Fi|Thriller|Crime|Documentary,Occassionally ( Two to Four Times),Movie theaters,"Special Occasions (Birthday, Holidays, Movie Nights , etc)",Friends,Actors/Actresses,Acting|Plot/Story,Soundtrack,Letterboxd
